pop,geno,year,BLUP,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.1.1,2012,-0.258064383068756,BX07.2.1f1.1.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.1.2,2012,-0.0156399203371319,BX07.2.1f1.1.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.1,2012,-0.427272752782502,BX07.2.1f1.10.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.2,2012,-0.346562871637001,BX07.2.1f1.10.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.1,2012,0.210921815766746,BX07.2.1f1.11.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.2,2012,-0.129920702628657,BX07.2.1f1.11.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.1,2012,-0.0133267875467984,BX07.2.1f1.12.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.2,2012,-0.366729017239339,BX07.2.1f1.12.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.1,2012,0.0784218687720077,BX07.2.1f1.13.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.2,2012,0.299188665634181,BX07.2.1f1.13.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.1,2012,0.0773773439592132,BX07.2.1f1.14.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.2,2012,-0.0312296670055329,BX07.2.1f1.14.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.1,2012,0.086505367703149,BX07.2.1f1.15.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.2,2012,0.253794051426053,BX07.2.1f1.15.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.16.1,2012,0.0942331165562656,BX07.2.1f1.16.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.16.2,2012,0.0943120582641727,BX07.2.1f1.16.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.17.2,2012,-0.352281213123468,BX07.2.1f1.17.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.1,2012,0.154189594881297,BX07.2.1f1.18.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.2,2012,0.17007174069214,BX07.2.1f1.18.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.1,2012,0.326708662788807,BX07.2.1f1.19.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.2,2012,0.317280147592704,BX07.2.1f1.19.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.1,2012,0.0971351032689165,BX07.2.1f1.2.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.2,2012,0.00902356995378398,BX07.2.1f1.2.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.1,2012,-0.124798316288226,BX07.2.1f1.20.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.2,2012,-0.102700962835129,BX07.2.1f1.20.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.1,2012,-0.251570366044301,BX07.2.1f1.21.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.2,2012,-0.402096544174825,BX07.2.1f1.21.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.1,2012,-0.092165566889897,BX07.2.1f1.22.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.2,2012,0.144213646532471,BX07.2.1f1.22.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.1,2012,0.31159602645196,BX07.2.1f1.23.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.2,2012,-0.38877584737486,BX07.2.1f1.23.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.24.1,2012,0.0126035389775903,BX07.2.1f1.24.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.24.2,2012,0.147000761272805,BX07.2.1f1.24.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.1,2012,0.135121787600033,BX07.2.1f1.25.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.2,2012,0.145814273507681,BX07.2.1f1.25.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.26.1,2012,0.0207030307836533,BX07.2.1f1.26.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.26.2,2012,0.182997137981037,BX07.2.1f1.26.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.27.1,2012,0.164702924678599,BX07.2.1f1.27.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.28.1,2012,0.136217162050435,BX07.2.1f1.28.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.28.2,2012,0.256171923102215,BX07.2.1f1.28.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.29.1,2012,0.103337504028525,BX07.2.1f1.29.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.29.2,2012,-0.375360618613689,BX07.2.1f1.29.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.3.1,2012,0.143970650185536,BX07.2.1f1.3.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.3.2,2012,-0.0567803710341793,BX07.2.1f1.3.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.30.1,2012,-0.147107467926213,BX07.2.1f1.30.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.30.2,2012,0.0899081351430641,BX07.2.1f1.30.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.31.1,2012,0.0260010337246627,BX07.2.1f1.31.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.31.2,2012,0.162274643694111,BX07.2.1f1.31.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.32.1,2012,-0.183774965961172,BX07.2.1f1.32.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.32.2,2012,0.256783918296174,BX07.2.1f1.32.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.1,2012,0.242503526019009,BX07.2.1f1.33.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.2,2012,0.238318333840701,BX07.2.1f1.33.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.1,2012,0.176772336051176,BX07.2.1f1.34.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.2,2012,0.133935705669614,BX07.2.1f1.34.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.1,2012,0.0336854476029231,BX07.2.1f1.35.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.2,2012,-0.0176974571313079,BX07.2.1f1.35.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.1,2012,0.200846661545907,BX07.2.1f1.36.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.2,2012,-0.208164392461107,BX07.2.1f1.36.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.1,2012,-0.210793886384346,BX07.2.1f1.37.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.2,2012,0.0408751969773625,BX07.2.1f1.37.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.1,2012,0.137673992940324,BX07.2.1f1.38.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.2,2012,-0.312438901808974,BX07.2.1f1.38.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.1,2012,0.0793418035570164,BX07.2.1f1.39.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.2,2012,0.23775337792951,BX07.2.1f1.39.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.1,2012,-0.000632849692367118,BX07.2.1f1.4.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.2,2012,-0.203787085418359,BX07.2.1f1.4.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.40.1,2012,0.0936529300310038,BX07.2.1f1.40.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.40.2,2012,-0.0364590062588778,BX07.2.1f1.40.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.41.2,2012,0.247180950251391,BX07.2.1f1.41.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.1,2012,-0.417975646704192,BX07.2.1f1.42.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.2,2012,-0.00688367706012504,BX07.2.1f1.42.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.1,2012,0.169239309173423,BX07.2.1f1.43.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.2,2012,-0.402414024846542,BX07.2.1f1.43.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.44.1,2012,0.136637051321344,BX07.2.1f1.44.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.44.2,2012,0.0452953202250925,BX07.2.1f1.44.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.1,2012,0.0331260197663207,BX07.2.1f1.45.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.2,2012,-0.120546519461214,BX07.2.1f1.45.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.46.2,2012,0.0962723497616246,BX07.2.1f1.46.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.1,2012,-0.170908968420095,BX07.2.1f1.47.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.2,2012,-0.370417236372054,BX07.2.1f1.47.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.1,2012,0.231648048766146,BX07.2.1f1.48.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.2,2012,0.10140485437969,BX07.2.1f1.48.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.1,2012,-0.195209098242375,BX07.2.1f1.49.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.2,2012,-0.218435758876191,BX07.2.1f1.49.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.5.1,2012,0.19076684032932,BX07.2.1f1.5.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.5.2,2012,0.106704074587457,BX07.2.1f1.5.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.1,2012,-0.0975818728431971,BX07.2.1f1.50.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.2,2012,-0.293415060538767,BX07.2.1f1.50.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.1,2012,-0.267953829947426,BX07.2.1f1.6.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.2,2012,-0.192477475785409,BX07.2.1f1.6.2_2012,TRUE
