pop,geno,year,BLUP,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.1.1,2012,-0.401721944252466,BX07.2.1f1.1.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.1.2,2012,1.67632815230613,BX07.2.1f1.1.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.1,2012,-0.396540867147512,BX07.2.1f1.10.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.2,2012,0.225362626586249,BX07.2.1f1.10.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.1,2012,-0.285704712018374,BX07.2.1f1.11.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.2,2012,-0.405156130097116,BX07.2.1f1.11.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.1,2012,-0.166435958072663,BX07.2.1f1.12.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.2,2012,-0.446574936349285,BX07.2.1f1.12.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.1,2012,-0.444308908847338,BX07.2.1f1.13.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.2,2012,0.316078286030902,BX07.2.1f1.13.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.1,2012,-0.338952330065298,BX07.2.1f1.14.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.2,2012,0.418494492569155,BX07.2.1f1.14.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.1,2012,0.267218255758312,BX07.2.1f1.15.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.2,2012,0.536763532358086,BX07.2.1f1.15.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.16.1,2012,0.36027762967695,BX07.2.1f1.16.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.16.2,2012,0.369049480469387,BX07.2.1f1.16.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.17.2,2012,-1.60584201539656,BX07.2.1f1.17.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.1,2012,1.36215377130897,BX07.2.1f1.18.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.2,2012,1.495105144117,BX07.2.1f1.18.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.1,2012,0.704430357293068,BX07.2.1f1.19.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.2,2012,0.0261748024545851,BX07.2.1f1.19.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.1,2012,0.635428256855128,BX07.2.1f1.2.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.2,2012,0.983148749015737,BX07.2.1f1.2.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.1,2012,-0.514104226314435,BX07.2.1f1.20.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.2,2012,-0.189073944485871,BX07.2.1f1.20.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.1,2012,-1.01245030695581,BX07.2.1f1.21.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.2,2012,-1.07853361586222,BX07.2.1f1.21.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.1,2012,-0.43665871141062,BX07.2.1f1.22.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.2,2012,0.815917099795147,BX07.2.1f1.22.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.1,2012,0.675729638574963,BX07.2.1f1.23.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.2,2012,-0.677601603440701,BX07.2.1f1.23.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.24.1,2012,1.03117721536662,BX07.2.1f1.24.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.24.2,2012,0.376387430688229,BX07.2.1f1.24.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.1,2012,1.1366533821619,BX07.2.1f1.25.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.2,2012,1.17738044800464,BX07.2.1f1.25.2_2012,TRUE
