pop,geno,BLUP,year,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.1.1,-5.56028997013341,2015,BX07.2.1f1.1.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.1,-3.71726885978274,2015,BX07.2.1f1.10.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.2,-5.56405757040034,2015,BX07.2.1f1.10.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.1,1.96821409922725,2015,BX07.2.1f1.11.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.11.2,1.69436012856914,2015,BX07.2.1f1.11.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.1,-6.06523765109195,2015,BX07.2.1f1.12.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.12.2,-6.86911046150557,2015,BX07.2.1f1.12.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.1,2.83755569817727,2015,BX07.2.1f1.13.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.13.2,3.29905083060614,2015,BX07.2.1f1.13.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.1,-0.781096534710235,2015,BX07.2.1f1.14.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.14.2,-0.694774485048564,2015,BX07.2.1f1.14.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.1,4.25907723999316,2015,BX07.2.1f1.15.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.15.2,4.51164431682742,2015,BX07.2.1f1.15.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.16.2,3.18248437284114,2015,BX07.2.1f1.16.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.17.2,-6.14685347556346,2015,BX07.2.1f1.17.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.1,3.01269752196552,2015,BX07.2.1f1.18.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.18.2,5.37554904474023,2015,BX07.2.1f1.18.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.1,2.34420231049264,2015,BX07.2.1f1.19.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.19.2,1.23921335494153,2015,BX07.2.1f1.19.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.1,3.52197772845757,2015,BX07.2.1f1.2.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.2.2,3.67239766668801,2015,BX07.2.1f1.2.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.1,-2.45023569589656,2015,BX07.2.1f1.20.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.20.2,3.53387468268034,2015,BX07.2.1f1.20.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.1,2.05529422779804,2015,BX07.2.1f1.21.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.21.2,-4.53858246363685,2015,BX07.2.1f1.21.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.1,0.87693033875165,2015,BX07.2.1f1.22.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.22.2,2.40966121722644,2015,BX07.2.1f1.22.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.1,1.82728511871342,2015,BX07.2.1f1.23.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.23.2,-3.41901119937753,2015,BX07.2.1f1.23.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.24.2,-1.77324557670637,2015,BX07.2.1f1.24.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.1,1.06151703238266,2015,BX07.2.1f1.25.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.25.2,3.52189879130521,2015,BX07.2.1f1.25.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.26.1,3.16076884291245,2015,BX07.2.1f1.26.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.26.2,-0.417796970233429,2015,BX07.2.1f1.26.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.27.1,-4.99403825206864,2015,BX07.2.1f1.27.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.28.1,2.49582222337937,2015,BX07.2.1f1.28.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.28.2,2.0534517330283,2015,BX07.2.1f1.28.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.29.1,-0.626173542751221,2015,BX07.2.1f1.29.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.29.2,-5.2774069035577,2015,BX07.2.1f1.29.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.3.1,0.830338045320436,2015,BX07.2.1f1.3.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.3.2,1.80242458214335,2015,BX07.2.1f1.3.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.30.1,-3.56358719818871,2015,BX07.2.1f1.30.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.30.2,4.48284236435664,2015,BX07.2.1f1.30.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.31.1,2.99610553707464,2015,BX07.2.1f1.31.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.31.2,-1.45924468984713,2015,BX07.2.1f1.31.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.32.1,1.4837438744126,2015,BX07.2.1f1.32.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.32.2,5.29171860011715,2015,BX07.2.1f1.32.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.1,-1.43221506822271,2015,BX07.2.1f1.33.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.2,3.94175428523207,2015,BX07.2.1f1.33.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.1,3.3829377573172,2015,BX07.2.1f1.34.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.2,-1.29721171613871,2015,BX07.2.1f1.34.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.1,1.59129063137928,2015,BX07.2.1f1.35.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.2,2.55759725585789,2015,BX07.2.1f1.35.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.1,-2.74367834989829,2015,BX07.2.1f1.36.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.2,2.85598382874162,2015,BX07.2.1f1.36.2_2015,TRUE
