group	marker	posi	group_Americain	posi_physique
2B	Cluster_1|Contig1|likelySeq@433	190.3	NA	NA
6B	Cluster_10|Contig11|complementarySeq@185	79.6	NA	NA
6B	Cluster_10|Contig11|likelySeq@185	79.6	3B	753080801
6B	Cluster_10|Contig2|complementarySeq@262	79.6	1A	105730583
6B	Cluster_10|Contig6|likelySeq@678	69.1	1A	105730583
2B	Cluster_100|Contig1|likelySeq@381	138.5	2A	124050938
2B	Cluster_100|Contig2|original@373	138.2	NA	NA
3B	Cluster_1000|Contig1|original@1107	188.6	3B	691101521
3B	Cluster_1000|Contig2|original@1114	188.6	3B	691101521
6A	Cluster_10002|Contig5|original@706	142.2	6B	186685315
7A	Cluster_10003|Contig1|original@1450	5.6	7A	510384
4A	Cluster_10003|Contig2|original@2147	228.4	4A	214825346
4A	Cluster_10003|Contig3|original@488	228.4	4A	214825346
4A	Cluster_10003|Contig4|original@1626	228.1	7A	510384
5B	Cluster_10005|Contig1|complementarySeq@388	195.9	5B	234599290
5B	Cluster_10005|Contig1|likelySeq@388	195.9	5B	234599290
5A	Cluster_10005|Contig2|original@170	70.8	NA	NA
1A	Cluster_10012|Contig14|original@963	142.3	1A	232259560
4A	Cluster_10012|Contig16|original@1066	228.1	7A	1708543
1B	Cluster_10012|Contig17|original@52	162.4	1B	269288804
1A	Cluster_10012|Contig5|original@250	142.3	1A	232259560
1A	Cluster_10014|Contig7|original@280	18.2	1A	3680241
1A	Cluster_10014|Contig8|original@1407	18.2	1A	3680241
3A	Cluster_10018|Contig1|original@1021	181	NA	NA
3A	Cluster_10018|Contig4|original@1065	181	NA	NA
5B	Cluster_1002|Contig1|original@57	241.7	NA	NA
3A	Cluster_10020|Contig2|complementarySeq@225	90.4	3A	92189334
1A	Cluster_10023|Contig1|complementarySeq@191	74.8	1B	176345446
1A	Cluster_10023|Contig1|likelySeq@1440	70.8	NA	NA
1B	Cluster_10023|Contig2|complementarySeq@1021	80.8	1B	176345446
1A	Cluster_10023|Contig2|likelySeq@1450	70.8	NA	NA
4A	Cluster_10024|Contig3|original@940	35.4	4A	462214
4A	Cluster_10024|Contig4|original@933	35.4	4A	462214
1A	Cluster_10025|Contig1|complementarySeq@1290	65	1A	113704291
1A	Cluster_10029|Contig1|original@800	15.2	NA	NA
3A	Cluster_1003|Contig3|original@830	141.2	NA	NA
1A	Cluster_10031|Contig1|original@724	74.8	NA	NA
1B	Cluster_10031|Contig2|original@787	88	NA	NA
7A	Cluster_10032|Contig2|complementarySeq@257	129.2	7A	65912304
7A	Cluster_10035|Contig16|likelySeq@534	71.3	5B	120589124
7A	Cluster_10035|Contig4|original@278	94	4A	1805115
3A	Cluster_10035|Contig5|original@258	146.1	3B	629034894
2A	Cluster_10037|Contig1|complementarySeq@104	181.5	2A	222530598
2A	Cluster_10037|Contig1|complementarySeq@317	180.6	2A	222530598
2A	Cluster_10037|Contig1|likelySeq@104	181.5	2A	222530598
2B	Cluster_10037|Contig2|likelySeq@147	199.9	2B	278214428
4B	Cluster_10044|Contig1|complementarySeq@577	117	4B	243923446
4B	Cluster_10044|Contig2|original@651	117	4B	243923446
6B	Cluster_1005|Contig1|likelySeq@442	63.3	NA	NA
5B	Cluster_10051|Contig1|original@96	179.5	5B	222270060
1A	Cluster_10058|Contig2|likelySeq@296	64.8	1A	119849706
4B	Cluster_10067|Contig1|complementarySeq@1058	84.6	NA	NA
4B	Cluster_10067|Contig2|original@634	84.6	4B	76540690
4A	Cluster_10068|Contig4|original@118	0	4B	284044028
7A	Cluster_10069|Contig1|original@758	133.4	7A	100476286
7A	Cluster_10069|Contig3|original@186	133.4	7B	47855036
2A	Cluster_10072|Contig1|complementarySeq@79	112.4	2B	146136691
2B	Cluster_10074|Contig1|original@287	25.8	NA	NA
2A	Cluster_10074|Contig2|complementarySeq@561	10.1	NA	NA
2A	Cluster_10074|Contig2|likelySeq@561	10.1	NA	NA
4B	Cluster_10076|Contig2|original@673	66.6	4B	11587744
2A	Cluster_1008|Contig1|original@361	112.4	2B	168828831
2B	Cluster_1008|Contig2|original@397	144.9	2B	168828831
1B	Cluster_10084|Contig2|likelySeq@205	176.6	1B	275408285
4A	Cluster_10089|Contig1|original@1388	63.2	4A	57876770
5A	Cluster_10093|Contig2|original@76	140.9	5A	78044746
2B	Cluster_10097|Contig2|original@113	146.1	2B	94855107
2B	Cluster_10097|Contig2|original@225	146.1	2B	94855107
2B	Cluster_10098|Contig1|likelySeq@505	120.4	2B	52057168
2B	Cluster_10098|Contig2|likelySeq@589	120.4	2B	52057168
4A	Cluster_10100|Contig2|original@99	191.4	NA	NA
1A	Cluster_10103|Contig1|original@211	10.3	1A	1633784
2B	Cluster_10105|Contig1|likelySeq@648	153.8	2B	106211010
2B	Cluster_10105|Contig1|likelySeq@630	153.8	2B	106211010
